,dataCode,ordinal,ordering,reassignments,default_value,default_related_field,ValueType,tree,num_fields,number_values
100,228,-1,,8=NA|9=-1,NA,NA,Categorical multiple,FALSE,2,7
101,229,-1,,8=-1|9=NA,NA,NA,Categorical multiple,FALSE,2,5
102,230,-1,,,NA,NA,Categorical multiple,FALSE,2,4
103,231,-1,,98=NA|99=-1,NA,NA,Categorical multiple,FALSE,2,29
104,238,-1,,,NA,NA,Categorical multiple,FALSE,2,6
105,239,-1,,,NA,NA,Categorical multiple,FALSE,2,417
106,240,-1,,,NA,NA,Categorical multiple,TRUE,5,11288
107,259,-1,,,NA,NA,Categorical multiple,TRUE,5,1902
108,261,0,,,NA,NA,Categorical single,FALSE,2,6
109,262,0,,,NA,NA,Categorical single,FALSE,2,5
110,263,-1,,,NA,NA,Categorical multiple,FALSE,2,12
111,264,-1,,8000=NA|9000=-1,NA,NA,Categorical multiple,TRUE,5,42
112,265,-1,,11000=NA|12000=-1,NA,NA,Categorical multiple,TRUE,5,50
113,266,-1,,6000=NA,NA,NA,Categorical multiple,TRUE,5,13
114,267,-1,,11000=NA|11001=-1|12000=-2,NA,NA,Categorical multiple,TRUE,5,51
115,268,-1,,4000=NA|5000=-1,NA,NA,Categorical multiple,TRUE,5,19
116,269,-1,,9999=-1,NA,NA,Categorical multiple,FALSE,2,199
117,270,-1,,9999=-1,NA,NA,Categorical multiple,FALSE,2,94
118,271,-1,,800=NA|900=-1,NA,NA,Categorical multiple,FALSE,2,7
119,300,0,,0=1|2=1|NA=0,NA,NA,Categorical single,FALSE,2,3
120,305,0,,,NA,NA,Categorical single,FALSE,2,5
121,339,0,,,NA,NA,Categorical single,FALSE,2,4
122,400,0,,,0,12224,Categorical single,FALSE,2,9
123,401,-1,,,4,12224,Categorical multiple,FALSE,2,4
124,403,0,,,0,12224,Categorical single,FALSE,2,2
125,408,0,,,NA,NA,Categorical single,FALSE,2,12
126,470,0,,,NA,NA,Categorical single,FALSE,2,3
127,479,0,,,NA,NA,Categorical single,FALSE,2,4
128,480,0,,,NA,NA,Categorical single,FALSE,2,7
129,486,0,,,NA,NA,Categorical single,FALSE,2,10
130,489,0,,,NA,NA,Categorical single,FALSE,2,3
131,493,0,,-131=1|-141=2,NA,NA,Categorical single,FALSE,2,4
132,494,0,,-1520=1|-2030=2|-3040=3|4000=4,NA,NA,Categorical single,FALSE,2,4
133,496,0,,,NA,NA,Categorical single,FALSE,2,5
134,497,0,,,NA,NA,Categorical single,TRUE,5,995
135,498,0,1|2|0,,NA,NA,Categorical single,FALSE,2,3
136,498,0,,,NA,NA,Categorical single,FALSE,2,3
137,498,0,1|2|0,,NA,NA,Categorical single,FALSE,2,3
138,498,0,,,NA,NA,Categorical single,FALSE,2,3
139,500,0,,,NA,NA,Categorical single,FALSE,2,33
140,502,0,,-818=NA|-121=NA,NA,NA,Categorical single,FALSE,2,4
